,Total,new:Total,Imported,new:Imported,Local,new:Local,Unknown,new:Unknown,Death,new:Death
Singapore,77,2,23,1,53,1,1,0,0,0
Japan,65,6,26,0,39,6,0,0,1,0
South Korea,31,1,13,0,15,1,3,0,0,0
Malaysia,22,0,17,0,4,0,1,0,0,0
Vietnam,16,0,8,0,8,0,0,0,0,0
Australia,15,0,12,0,3,0,0,0,0,0
Philippines,3,0,3,0,0,0,0,0,1,0
Cambodia,1,0,1,0,0,0,0,0,0,0
Thailand,35,0,23,0,7,0,5,0,0,0
India,3,0,3,0,0,0,0,0,0,0
Nepal,1,0,1,0,0,0,0,0,0,0
Sri Lanka,1,0,1,0,0,0,0,0,0,0
USA,15,0,13,0,2,0,0,0,0,0
Canada,8,1,6,0,0,0,2,1,0,0
Germany,16,0,2,0,14,0,0,0,0,0
France,12,0,5,0,7,0,0,0,1,0
UK,9,0,2,0,7,0,0,0,0,0
Italy,3,0,3,0,0,0,0,0,0,0
Russia,2,0,2,0,0,0,0,0,0,0
Spain,2,0,0,0,2,0,0,0,0,0
Belgium,1,0,1,0,0,0,0,0,0,0
Finland,1,0,1,0,0,0,0,0,0,0
Sweden,1,0,1,0,0,0,0,0,0,0
UAE,9,0,6,0,2,0,1,0,0,0
Egypt,1,0,0,0,1,0,0,0,0,0
Cruise ship,454,0,0,0,0,0,454,0,0,0
